69	Paul Sabatier	Paul Sabatier	1854	1941	http://nobelprize.org/chemistry/laureates/1912/sabatier.jpg	http://nobelprize.org/chemistry/laureates/1912/sabatier-bio.html		http://nobelprize.org/chemistry/laureates/1912/sabatier-lecture.html
70	Gerhart Hauptmann	Gerhart Johann Robert Hauptmann	1862	1946	http://nobelprize.org/literature/laureates/1912/hauptmann.jpg	http://nobelprize.org/literature/laureates/1912/hauptmann-autobio.html		
71	Alexis Carrel	Alexis Carrel	1873	1944	http://nobelprize.org/medicine/laureates/1912/carrel.jpg	http://nobelprize.org/medicine/laureates/1912/carrel-bio.html		http://nobelprize.org/medicine/laureates/1912/carrel-lecture.html
72	Elihu Root	Elihu Root	1845	1937	http://nobelprize.org/peace/laureates/1912/root.jpg	http://nobelprize.org/peace/laureates/1912/root-bio.html		http://nobelprize.org/peace/laureates/1912/root-lecture.html
73	Gustaf Dalén	Nils Gustaf Dalén	1869	1937	http://nobelprize.org/physics/laureates/1912/dalen.jpg	http://nobelprize.org/physics/laureates/1912/dalen-bio.html		
74	Alfred Werner	Alfred Werner	1866	1919	http://nobelprize.org/chemistry/laureates/1913/werner.jpg	http://nobelprize.org/chemistry/laureates/1913/werner-bio.html		http://nobelprize.org/chemistry/laureates/1913/werner-lecture.html
75	Rabindranath Tagore	Rabindranath Tagore	1861	1941	http://nobelprize.org/literature/laureates/1913/tagore.jpg	http://nobelprize.org/literature/laureates/1913/tagore-bio.html		
76	Charles Richet	Charles Robert Richet	1850	1935	http://nobelprize.org/medicine/laureates/1913/richet.jpg	http://nobelprize.org/medicine/laureates/1913/richet-bio.html		http://nobelprize.org/medicine/laureates/1913/richet-lecture.html
77	Henri La Fontaine	Henri La Fontaine	1854	1943	http://nobelprize.org/peace/laureates/1913/fontaine.jpg	http://nobelprize.org/peace/laureates/1913/fontaine-bio.html		
78	Heike Kamerlingh Onnes	Heike Kamerlingh Onnes	1853	1926	http://nobelprize.org/physics/laureates/1913/onnes.jpg	http://nobelprize.org/physics/laureates/1913/onnes-bio.html		http://nobelprize.org/physics/laureates/1913/onnes-lecture.html
79	Theodore W. Richards	Theodore William Richards	1868	1928	http://nobelprize.org/chemistry/laureates/1914/richards.jpg	http://nobelprize.org/chemistry/laureates/1914/richards-bio.html		http://nobelprize.org/chemistry/laureates/1914/richards-lecture.html
