EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,8893250,Borak,0,13.666265182115238,12.3911372559628130345243808409924122378,6.57237697948774170995365213124788897397,15,9.8,1000,3.2,154.56,21790.1,4090.36
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,4979206,Even Stevens,0,8.688681391870015,7.06415854758289945774848310973453675595,6.21050162666780707302658496116524009941,9.4,5.71,1000,2,697.72,50085.96,8335.16
116462736,GB / Wolv 22nd Nov,2m Hcap,22-11-2014 20:15,7860590,Hallouella,0,4.538114462305966,4.94663681896490856317354948951592221452,8.1501726072919545382509878751782102528,8,4.3,1000,3,28.92,151216.16,10814.42
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,7344964,Cascadia,0,12,10.2339761030121477612084223193822278073,7.84131923609242595844330190912454082734,14.5,8.2,1000,4.3,44.32,31778.02,3762.72
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,914807,Dhaular Dhar,0,21,14.844303327978337522576782880483761203,9.53497100019493539851368960680054791426,23,11.5,1000,14,91.64,18623.94,747.16
116473782,GB / Ascot 22nd Nov,2m6f Hcap Hrd,22-11-2014 13:30,6879856,Magic Money,0,8.035559572293359,8.43767890935580091600591486275002257445,8.14641590446280015956734687430424466187,11,7.8,690,3.1,781.92,53854.88,19979.28
116473786,GB / Ascot 22nd Nov,2m3f Grd2 Hrd,22-11-2014 14:40,6604002,Ballyglasheen,0,142.439070632,125.643974583716959203466213276529048533,74.3157835941859794001938082133317389719,200,50,1000,65,115.5,4166.18,695.48
116473786,GB / Ascot 22nd Nov,2m3f Grd2 Hrd,22-11-2014 14:40,8921,Houseparty,0,1000,999.891742045013477562232355133545898646,999.32471839107607131554084768881686144,1000,1000,1000,1000,71.14,445.36,77.08
116473788,GB / Ascot 22nd Nov,2m1f Hcap Chs,22-11-2014 15:15,6633286,Bellenos,0,6.585958255430996,5.41614864408634940395990007782268092744,5.70389740904553987912961348172802228796,7,5.1,1000,5.8,19352.4,218419.72,19974.52
116473790,GB / Ascot 22nd Nov,2m NHF,22-11-2014 15:50,8501362,No No Manolito,0,2.6457605505060355,2.57647595043835135245663409228061120817,2.33139210237652466342997103220002734814,2.9,2.28,1000,2.04,3316.92,276654.7,99514.84
116475527,GB / Hunt 22nd Nov,3m2f Hcap Hrd,22-11-2014 14:50,2585989,Carmela Maria,0,9.744348039389351,9.70332313149921318865131415168044376619,8.92339442000985501984088490363975258966,12,8,1000,7,135.22,36853.38,9816.08
116475527,GB / Hunt 22nd Nov,3m2f Hcap Hrd,22-11-2014 14:50,3957811,Minella Bliss,0,4.5459811,3.84716316466603474202615894510100881211,4.25876605789362019052399099539997271052,4.6,3.2,1000,1.18,639.5,138971.02,116722.68
